"filename", "language", "JSON", "XAML", "XML", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\.config\dotnet-tools.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\OSProjTest.csproj", "XML", 0, 0, 24, 0, 0, 0, 7, 31
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\Tests\IOSTaskTests.cs", "C#", 0, 0, 0, 80, 0, 0, 16, 96
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\Tests\IdGeneratorTests.cs", "C#", 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\Tests\ProcessorTests.cs", "C#", 0, 0, 0, 150, 0, 0, 22, 172
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\Tests\TaskContainerTests.cs", "C#", 0, 0, 0, 96, 0, 0, 29, 125
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProjTest\Tests\TaskGeneratorTests.cs", "C#", 0, 0, 0, 27, 0, 0, 7, 34
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\App.xaml", "XAML", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\App.xaml.cs", "C#", 0, 0, 0, 9, 0, 3, 3, 15
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\AssemblyInfo.cs", "C#", 0, 0, 0, 5, 0, 4, 2, 11
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\Generator\IdGenerator.cs", "C#", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\Generator\TaskGenerator.cs", "C#", 0, 0, 0, 48, 0, 0, 8, 56
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\Generator\TaskType.cs", "C#", 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\MainWindow.xaml", "XAML", 0, 36, 0, 0, 0, 0, 3, 39
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\MainWindow.xaml.cs", "C#", 0, 0, 0, 72, 0, 0, 13, 85
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\OSProj.csproj", "XML", 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\ProcessorInfo.cs", "C#", 0, 0, 0, 85, 0, 3, 14, 102
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\OSTaskProcessor.cs", "C#", 0, 0, 0, 154, 0, 4, 38, 196
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\Queue.cs", "C#", 0, 0, 0, 57, 0, 0, 14, 71
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\TaskContainer.cs", "C#", 0, 0, 0, 217, 0, 0, 45, 262
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\BaseOSTask.cs", "C#", 0, 0, 0, 92, 0, 0, 16, 108
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\ExtendedOSTask.cs", "C#", 0, 0, 0, 127, 0, 0, 22, 149
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\IBaseTaskStateSetter.cs", "C#", 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\IExtendedTasksStateSetter.cs", "C#", 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\IOSTask.cs", "C#", 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TaskProcessor\ThreadExecutors\ThreadExecutor.cs", "C#", 0, 0, 0, 56, 0, 0, 10, 66
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\OSProj\TextBoxTarget.cs", "C#", 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\Readme.md", "Markdown", 0, 0, 0, 0, 25, 0, 9, 34
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool.nuspec", "XML", 0, 0, 34, 0, 0, 0, 5, 39
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\DotnetToolSettings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\ReportGenerator.Core.xml", "XML", 0, 0, 9370, 0, 0, 0, 1, 9371
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\ReportGenerator.DotnetCorePluginLoader.xml", "XML", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\ReportGenerator.deps.json", "JSON", 441, 0, 0, 0, 0, 0, 0, 441
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\ReportGenerator.runtimeconfig.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net8.0\any\appsettings.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\DotnetToolSettings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\ReportGenerator.Core.xml", "XML", 0, 0, 9370, 0, 0, 0, 1, 9371
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\ReportGenerator.DotnetCorePluginLoader.xml", "XML", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\ReportGenerator.deps.json", "JSON", 391, 0, 0, 0, 0, 0, 0, 391
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\ReportGenerator.runtimeconfig.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\dotnet-reportgenerator-globaltool\5.4.1\tools\net9.0\any\appsettings.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\tosha\OneDrive\Документы\SPBPU\TVITPO\OSProj\tools\.store\dotnet-reportgenerator-globaltool\5.4.1\project.assets.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 39
"Total", "-", 964, 44, 18867, 1383, 25, 14, 308, 21605